Skills,Tools,Interest,Education Level,Years of Experience,Recommended Career
"Spark, Git, JavaScript, Tableau","Jupyter, AWS EC2",AI/ML,Postgraduate,7,AI Engineer
"REST APIs, Python, Java, Node.js, TensorFlow, SQL, Data Analysis","Kubernetes, Jira, VS Code, PyCharm",Cloud,Postgraduate,1,DevOps Engineer
"NLP, SQL, Kubernetes, Data Analysis, Networking","Jupyter, Jira, Kubernetes",Cybersecurity,Postgraduate,9,Security Engineer
"TensorFlow, Azure, REST APIs, Cybersecurity, Node.js, Networking","Figma, GitHub, Jupyter",Web Development,Undergraduate,10,Frontend Developer
"Statistics, NLP, Linux, Kubernetes, Machine Learning, Deep Learning, Data Analysis","Postman, AWS EC2",Data Science,Graduate,3,Data Analyst
"JavaScript, HTML, Cybersecurity, Machine Learning, Python","Figma, Google Cloud, Azure Portal",Design,Undergraduate,9,UI/UX Designer
"PyTorch, Embedded Systems, Deep Learning, Linux, Tableau, REST APIs","Kubernetes, Jira, Azure Portal, VS Code",Cybersecurity,Postgraduate,9,Security Engineer
"Networking, PyTorch, CSS, React, Embedded Systems, SQL, NLP","Docker, PyCharm, Kubernetes",Cybersecurity,Undergraduate,8,Security Engineer
"Tableau, Spark, AWS, Statistics","Google Cloud, Jupyter, GitLab, GitHub",Cloud,Graduate,4,DevOps Engineer
"Power BI, Docker, Deep Learning, HTML, SQL, React","Postman, VS Code, Google Cloud, AWS EC2",Cloud,Graduate,9,Cloud Engineer
"Java, UI/UX, Python, HTML","PyCharm, GitLab, Docker",Data Science,Graduate,6,Data Scientist
"Figma, Spark, Deep Learning, Embedded Systems","Google Cloud, Docker, Jira, PyCharm",Web Development,Undergraduate,10,Frontend Developer
"Networking, Machine Learning, SQL, Cybersecurity, Java","AWS EC2, Jupyter, Docker, Google Cloud",AI/ML,Undergraduate,3,AI Engineer
"JavaScript, SQL, Data Analysis, Deep Learning, Statistics","AWS EC2, Azure Portal, Jira, VS Code",Design,Graduate,8,UI/UX Designer
"React, CSS, Python, Node.js, JavaScript, C++","Kubernetes, Google Cloud, Postman, GitLab",Design,Graduate,8,UI/UX Designer
"PyTorch, Data Analysis, Python, Deep Learning","Google Cloud, Kubernetes, VS Code, Docker",Cloud,Graduate,2,DevOps Engineer
"NLP, Machine Learning, AWS, C++, UI/UX, Git, JavaScript","Docker, VS Code",AI/ML,Undergraduate,9,Machine Learning Engineer
"Cybersecurity, Deep Learning, SQL, Machine Learning, C++, Python, Tableau","Azure Portal, VS Code",Web Development,Postgraduate,0,Backend Developer
"Tableau, UI/UX, TensorFlow, HTML","Google Cloud, Postman, Figma, GitLab",AI/ML,Graduate,2,Machine Learning Engineer
"PyTorch, Git, Machine Learning, UI/UX, HTML, Cybersecurity, CSS","Postman, Google Cloud",Cybersecurity,Postgraduate,2,Security Engineer
"Power BI, Java, TensorFlow, PyTorch, Machine Learning, C++","VS Code, GitLab",IoT,Undergraduate,6,Embedded Systems Engineer
"HTML, Azure, REST APIs, Statistics, Deep Learning, AWS","Google Cloud, Jupyter, Kubernetes",Web Development,Graduate,2,Frontend Developer
"Power BI, Hadoop, REST APIs, Figma, C++","Kubernetes, Google Cloud, VS Code, Docker",Cybersecurity,Undergraduate,5,Cybersecurity Analyst
"Embedded Systems, SQL, HTML, C++","Postman, Google Cloud, Jira",Design,Postgraduate,4,UI/UX Designer
"Statistics, Machine Learning, Figma, UI/UX, Python, Linux","GitLab, PyCharm",Data Science,Graduate,0,Data Analyst
"Data Analysis, Machine Learning, Java, JavaScript, Power BI, Kubernetes","GitHub, Kubernetes, PyCharm",AI/ML,Postgraduate,0,Machine Learning Engineer
"JavaScript, Statistics, Hadoop, Networking, Java, TensorFlow, Azure","GitLab, VS Code, Kubernetes",IoT,Undergraduate,10,Embedded Systems Engineer
"Cybersecurity, Figma, Python, Embedded Systems","GitLab, Postman, Docker, PyCharm",Cloud,Undergraduate,7,DevOps Engineer
"Statistics, Hadoop, Docker, NLP, PyTorch, C++","AWS EC2, GitHub",Web Development,Undergraduate,9,Frontend Developer
"CSS, REST APIs, Figma, Docker","VS Code, GitHub, Postman, Kubernetes",Cloud,Graduate,8,Cloud Engineer
"JavaScript, Machine Learning, Git, Kubernetes, Linux","Postman, GitHub",Data Science,Graduate,2,Data Analyst
"SQL, C++, Kubernetes, Deep Learning, Tableau, HTML, TensorFlow","Kubernetes, Postman, AWS EC2, Figma",Cybersecurity,Postgraduate,9,Security Engineer
"Tableau, Java, Machine Learning, Linux, UI/UX, CSS","Kubernetes, AWS EC2, Jira",Cloud,Postgraduate,1,DevOps Engineer
"SQL, Python, Hadoop, Machine Learning, Git, Docker","GitHub, Jupyter, GitLab, Jira",Cybersecurity,Graduate,7,Cybersecurity Analyst
"Spark, UI/UX, Figma, React, Linux, Node.js","PyCharm, Google Cloud, Kubernetes, AWS EC2",IoT,Postgraduate,2,Embedded Systems Engineer
"Python, Machine Learning, Azure, Node.js, Linux, Git","GitLab, Kubernetes, Azure Portal",Design,Graduate,6,UI/UX Designer
"Statistics, UI/UX, Node.js, Data Analysis, Cybersecurity, AWS","VS Code, GitLab",IoT,Undergraduate,6,Embedded Systems Engineer
"NLP, Kubernetes, Statistics, Cybersecurity, Python, Docker, Spark","PyCharm, AWS EC2",Data Science,Postgraduate,9,Data Analyst
"React, JavaScript, Java, Figma, Tableau","VS Code, Docker, Azure Portal, GitLab",Web Development,Graduate,8,Frontend Developer
"UI/UX, React, Tableau, PyTorch, C++","Azure Portal, Google Cloud, VS Code, Figma",Design,Undergraduate,9,UI/UX Designer
"Cybersecurity, Azure, PyTorch, HTML, Figma","AWS EC2, VS Code, Google Cloud, Docker",Data Science,Undergraduate,2,Data Analyst
"Networking, JavaScript, Cybersecurity, React, Tableau, Java, Kubernetes","Google Cloud, Kubernetes, Docker",Design,Graduate,2,UI/UX Designer
"C++, Docker, SQL, Data Analysis, Kubernetes","Postman, AWS EC2, GitLab",Data Science,Postgraduate,9,Data Analyst
"Networking, Cybersecurity, React, UI/UX, NLP, Statistics, PyTorch","Kubernetes, VS Code, PyCharm",Cybersecurity,Undergraduate,10,Security Engineer
"JavaScript, Hadoop, Cybersecurity, HTML, UI/UX, Java","Jira, PyCharm, Figma, Google Cloud",AI/ML,Postgraduate,6,AI Engineer
"PyTorch, Statistics, Figma, Deep Learning","GitLab, GitHub",IoT,Graduate,1,Embedded Systems Engineer
"Statistics, CSS, JavaScript, Figma","Azure Portal, AWS EC2, Kubernetes, GitHub",Design,Graduate,10,UI/UX Designer
"Git, Kubernetes, UI/UX, Hadoop, Docker, JavaScript, Cybersecurity","AWS EC2, Kubernetes",Data Science,Postgraduate,8,Data Analyst
"Azure, PyTorch, C++, Kubernetes, Java","PyCharm, VS Code",Data Science,Postgraduate,4,Data Scientist
"REST APIs, UI/UX, Embedded Systems, Python, Power BI","PyCharm, Azure Portal, Kubernetes",Cybersecurity,Postgraduate,5,Security Engineer
"Deep Learning, CSS, UI/UX, HTML, Kubernetes, Figma, React","VS Code, Google Cloud, GitLab",Cloud,Undergraduate,0,DevOps Engineer
"HTML, Statistics, Deep Learning, React, Node.js","GitLab, PyCharm, Jupyter, Jira",Cloud,Postgraduate,3,DevOps Engineer
"Data Analysis, React, Spark, Java, Cybersecurity","AWS EC2, Postman",AI/ML,Undergraduate,3,AI Engineer
"Azure, HTML, Statistics, PyTorch, Figma","PyCharm, Jira, Kubernetes",Cloud,Postgraduate,2,DevOps Engineer
"Machine Learning, NLP, React, HTML","GitLab, Jupyter",Web Development,Postgraduate,10,Frontend Developer
"UI/UX, Statistics, Machine Learning, NLP, Spark, Embedded Systems, Tableau","VS Code, Jira, AWS EC2, Kubernetes",IoT,Graduate,9,Embedded Systems Engineer
"Python, Embedded Systems, Power BI, NLP, AWS, UI/UX","Jira, GitHub",Cloud,Postgraduate,2,Cloud Engineer
"Git, UI/UX, NLP, PyTorch, Machine Learning","Jupyter, GitHub",Cybersecurity,Undergraduate,7,Security Engineer
"Tableau, TensorFlow, SQL, Machine Learning, REST APIs, Python, Node.js","Google Cloud, Jira, GitHub, AWS EC2",Data Science,Postgraduate,1,Data Analyst
"JavaScript, Deep Learning, HTML, UI/UX","Figma, Kubernetes, VS Code, Postman",Data Science,Undergraduate,4,Data Analyst
"Tableau, CSS, Statistics, AWS","Jupyter, Docker",Web Development,Graduate,6,Backend Developer
"REST APIs, Python, Deep Learning, Kubernetes","Docker, Azure Portal",AI/ML,Graduate,4,AI Engineer
"Statistics, Azure, Figma, TensorFlow","Google Cloud, AWS EC2",IoT,Undergraduate,7,Embedded Systems Engineer
"Tableau, Hadoop, TensorFlow, JavaScript, C++, Python, Azure","VS Code, GitHub, Kubernetes",Web Development,Postgraduate,6,Backend Developer
"Node.js, PyTorch, Kubernetes, React, JavaScript","Docker, AWS EC2, PyCharm",Data Science,Postgraduate,3,Data Scientist
"Machine Learning, Python, JavaScript, Kubernetes, Hadoop, React, Git","Jupyter, Figma, Jira",Design,Graduate,9,UI/UX Designer
"Statistics, Figma, JavaScript, Spark, Cybersecurity, Node.js","Kubernetes, Google Cloud, Docker, GitHub",Web Development,Postgraduate,8,Backend Developer
"JavaScript, Cybersecurity, PyTorch, TensorFlow, REST APIs, Java","Google Cloud, Kubernetes, AWS EC2",Web Development,Undergraduate,10,Frontend Developer
"Spark, Linux, CSS, Power BI, Azure","Docker, Jira",Design,Postgraduate,8,UI/UX Designer
"TensorFlow, Java, Figma, Linux","VS Code, Figma, Kubernetes",Data Science,Graduate,2,Data Scientist
"Power BI, C++, Node.js, PyTorch","Jupyter, Figma, Google Cloud",Cloud,Graduate,6,Cloud Engineer
"REST APIs, Embedded Systems, Deep Learning, React, C++, Docker, HTML","GitHub, PyCharm, Figma",Design,Graduate,1,UI/UX Designer
"Power BI, SQL, HTML, AWS, UI/UX, Git","GitLab, Figma, Azure Portal",Web Development,Graduate,6,Frontend Developer
"Power BI, REST APIs, Git, HTML, Deep Learning, NLP, Machine Learning","Postman, GitHub, Kubernetes",Data Science,Undergraduate,4,Data Analyst
"UI/UX, Data Analysis, CSS, HTML, AWS","Google Cloud, PyCharm",Cloud,Postgraduate,9,Cloud Engineer
"React, Git, Azure, Embedded Systems, Figma, Tableau","AWS EC2, Figma, Kubernetes, Postman",Cybersecurity,Postgraduate,1,Security Engineer
"Node.js, Embedded Systems, HTML, Git, Cybersecurity","Jupyter, VS Code, Azure Portal, PyCharm",Cybersecurity,Graduate,9,Cybersecurity Analyst
"Kubernetes, Statistics, Hadoop, Git","VS Code, Google Cloud, AWS EC2, Kubernetes",Cybersecurity,Postgraduate,7,Cybersecurity Analyst
"SQL, Figma, NLP, HTML, REST APIs, Cybersecurity","AWS EC2, GitLab",Web Development,Postgraduate,0,Frontend Developer
"TensorFlow, Kubernetes, Networking, UI/UX, Docker","Postman, GitHub, Figma, VS Code",IoT,Graduate,0,Embedded Systems Engineer
"Git, HTML, Docker, Python","Jira, Google Cloud, VS Code",AI/ML,Undergraduate,3,Machine Learning Engineer
"AWS, Statistics, REST APIs, TensorFlow","Figma, VS Code, Kubernetes, PyCharm",Web Development,Postgraduate,1,Backend Developer
"AWS, Figma, Docker, Hadoop, NLP","Jira, Jupyter",Design,Undergraduate,9,UI/UX Designer
"Linux, PyTorch, Node.js, Cybersecurity, Spark, Hadoop","AWS EC2, GitHub",IoT,Postgraduate,7,Embedded Systems Engineer
"Java, C++, Data Analysis, Embedded Systems, Kubernetes, Machine Learning, Git","Jupyter, Kubernetes, Google Cloud, GitHub",Web Development,Postgraduate,7,Frontend Developer
"HTML, Cybersecurity, Java, Machine Learning, NLP, Kubernetes, SQL","AWS EC2, Kubernetes",AI/ML,Graduate,10,AI Engineer
"React, NLP, Kubernetes, Networking, Docker, SQL, HTML","PyCharm, Kubernetes",Data Science,Graduate,9,Data Analyst
"Java, Docker, Node.js, REST APIs, TensorFlow, CSS, JavaScript","GitHub, Jupyter",AI/ML,Graduate,7,Machine Learning Engineer
"Figma, Python, Data Analysis, AWS, React, PyTorch","Jira, Figma",Cybersecurity,Graduate,9,Cybersecurity Analyst
"C++, HTML, PyTorch, Git, TensorFlow","Google Cloud, Azure Portal",Web Development,Graduate,7,Frontend Developer
"REST APIs, UI/UX, AWS, JavaScript","Kubernetes, Jupyter",Data Science,Undergraduate,0,Data Scientist
"Power BI, HTML, Data Analysis, Docker, REST APIs, Networking","GitHub, Azure Portal, Figma",Design,Graduate,10,UI/UX Designer
"SQL, Networking, Figma, AWS, Machine Learning, Docker","Jira, Kubernetes, GitHub",Design,Graduate,0,UI/UX Designer
"UI/UX, Networking, CSS, PyTorch, Spark, Tableau, NLP","Jupyter, Google Cloud, PyCharm",AI/ML,Undergraduate,3,AI Engineer
"SQL, Statistics, Azure, Node.js, HTML, Cybersecurity","Postman, PyCharm, Azure Portal",Cybersecurity,Graduate,0,Security Engineer
"Docker, Node.js, Cybersecurity, NLP, React, Spark, REST APIs","PyCharm, Jira",Design,Undergraduate,2,UI/UX Designer
"Kubernetes, CSS, Networking, TensorFlow, Spark, Figma","PyCharm, Jira, Docker",AI/ML,Postgraduate,8,AI Engineer
"Docker, Node.js, Networking, Machine Learning, Data Analysis, C++","PyCharm, Azure Portal",IoT,Graduate,3,Embedded Systems Engineer
"CSS, HTML, NLP, Linux, Docker, C++, Figma","PyCharm, Google Cloud, GitLab",Design,Postgraduate,0,UI/UX Designer
"Hadoop, Power BI, Statistics, Data Analysis, REST APIs, Linux","Jira, AWS EC2",Cloud,Graduate,0,Cloud Engineer
"PyTorch, Git, JavaScript, Data Analysis, Embedded Systems, Networking","Figma, VS Code, Google Cloud",IoT,Undergraduate,10,Embedded Systems Engineer
"NLP, SQL, Docker, Figma, Tableau, Statistics","GitHub, AWS EC2",Cloud,Postgraduate,1,DevOps Engineer
"Python, TensorFlow, Tableau, REST APIs, HTML","Jira, Docker, Azure Portal",Cloud,Graduate,5,DevOps Engineer
"Node.js, Power BI, JavaScript, Cybersecurity, Linux","Jupyter, Postman, Google Cloud",Data Science,Graduate,7,Data Scientist
"Linux, Java, Hadoop, NLP","PyCharm, Jira",IoT,Postgraduate,0,Embedded Systems Engineer
"Networking, PyTorch, Data Analysis, CSS","Jupyter, Kubernetes, Docker, VS Code",Cloud,Postgraduate,1,Cloud Engineer
"TensorFlow, Machine Learning, Statistics, Azure, REST APIs, Git","Jira, PyCharm, Postman",IoT,Undergraduate,7,Embedded Systems Engineer
"JavaScript, Figma, AWS, Spark, Linux, Docker, NLP","Docker, Jira",Web Development,Undergraduate,6,Frontend Developer
"Python, AWS, Node.js, TensorFlow, Docker, Figma","Kubernetes, PyCharm, Figma",IoT,Undergraduate,9,Embedded Systems Engineer
"Java, REST APIs, PyTorch, Figma, Python, Kubernetes, Machine Learning","Docker, Kubernetes, GitLab, VS Code",Cybersecurity,Graduate,7,Cybersecurity Analyst
"Git, Hadoop, Kubernetes, Linux","Postman, GitLab",IoT,Graduate,10,Embedded Systems Engineer
"Statistics, Embedded Systems, NLP, PyTorch, HTML, Azure","Figma, Jira",IoT,Undergraduate,8,Embedded Systems Engineer
"Git, REST APIs, Figma, PyTorch, CSS, HTML, JavaScript","Jupyter, Google Cloud, Docker",Cloud,Postgraduate,8,DevOps Engineer
"C++, Deep Learning, React, Spark, Python","GitHub, Docker, Azure Portal",Cloud,Graduate,8,DevOps Engineer
"UI/UX, Machine Learning, Data Analysis, Embedded Systems, SQL","AWS EC2, Google Cloud, Postman, PyCharm",Data Science,Undergraduate,3,Data Scientist
"Networking, CSS, Embedded Systems, Git, Machine Learning, Kubernetes, Python","Azure Portal, Jira, PyCharm",Design,Postgraduate,1,UI/UX Designer
"Node.js, NLP, Cybersecurity, HTML, Data Analysis, TensorFlow","Postman, Google Cloud, VS Code, Azure Portal",Data Science,Postgraduate,7,Data Scientist
"Figma, AWS, SQL, Deep Learning, CSS, UI/UX","VS Code, PyCharm, GitHub, Docker",Web Development,Graduate,3,Frontend Developer
"Hadoop, Java, Spark, Azure, AWS, Deep Learning","Jupyter, GitHub, Figma, VS Code",Cloud,Graduate,1,DevOps Engineer
"Spark, Deep Learning, REST APIs, Hadoop, Linux, PyTorch","Figma, Azure Portal",Cybersecurity,Graduate,5,Security Engineer
"Embedded Systems, Deep Learning, Kubernetes, PyTorch","Postman, Figma",AI/ML,Undergraduate,6,AI Engineer
"Java, Kubernetes, Tableau, C++","Kubernetes, Azure Portal, AWS EC2",AI/ML,Postgraduate,6,AI Engineer
"Power BI, Deep Learning, Cybersecurity, NLP, JavaScript, Python","GitHub, Jira, Figma",Cybersecurity,Graduate,1,Security Engineer
"C++, Data Analysis, Node.js, HTML, REST APIs","Figma, GitHub, PyCharm",Data Science,Undergraduate,9,Data Analyst
"AWS, CSS, Embedded Systems, TensorFlow","AWS EC2, GitLab, Kubernetes",AI/ML,Undergraduate,8,Machine Learning Engineer
"Azure, Python, JavaScript, Kubernetes, Statistics, Deep Learning, Spark","Kubernetes, Postman, GitHub",AI/ML,Undergraduate,10,Machine Learning Engineer
"Azure, PyTorch, Linux, UI/UX","GitHub, Jupyter, GitLab",Data Science,Postgraduate,2,Data Scientist
"Figma, Deep Learning, Machine Learning, C++","Kubernetes, Docker, Jira, Azure Portal",Web Development,Postgraduate,2,Backend Developer
"Power BI, Figma, Azure, Networking","Jupyter, Docker, Azure Portal, Kubernetes",AI/ML,Graduate,10,Machine Learning Engineer
"Data Analysis, REST APIs, Node.js, Statistics, TensorFlow, JavaScript, Git","Jira, Postman",AI/ML,Postgraduate,2,Machine Learning Engineer
"SQL, Networking, HTML, CSS, Azure, Figma, Java","GitHub, Azure Portal, VS Code",Cybersecurity,Graduate,0,Cybersecurity Analyst
"Machine Learning, Spark, REST APIs, Azure","AWS EC2, Google Cloud",Cybersecurity,Undergraduate,1,Cybersecurity Analyst
"Docker, REST APIs, Networking, Hadoop, JavaScript, NLP","Google Cloud, Jupyter, Jira",Design,Undergraduate,4,UI/UX Designer
"Data Analysis, Networking, SQL, AWS, HTML","Docker, Kubernetes, AWS EC2",Web Development,Undergraduate,0,Backend Developer
"React, Azure, Machine Learning, UI/UX, Linux, Networking","GitHub, Jira, VS Code, Kubernetes",Data Science,Postgraduate,7,Data Analyst
"Docker, Embedded Systems, REST APIs, Data Analysis, Deep Learning, AWS","PyCharm, Docker",Cybersecurity,Postgraduate,6,Cybersecurity Analyst
"Machine Learning, UI/UX, Node.js, SQL","Kubernetes, Docker, AWS EC2",Web Development,Graduate,10,Backend Developer
"Cybersecurity, Deep Learning, Docker, HTML, Azure, JavaScript, Kubernetes","Azure Portal, Jira",Cybersecurity,Graduate,8,Cybersecurity Analyst
"REST APIs, Networking, AWS, Linux, HTML","Jupyter, PyCharm",AI/ML,Undergraduate,10,Machine Learning Engineer
"Cybersecurity, Figma, React, AWS, Statistics","AWS EC2, PyCharm",Data Science,Undergraduate,10,Data Scientist
"Hadoop, Azure, Node.js, TensorFlow, Networking","PyCharm, AWS EC2, Jira",Cybersecurity,Undergraduate,1,Cybersecurity Analyst
"JavaScript, C++, Docker, Deep Learning","Google Cloud, PyCharm, Postman",IoT,Graduate,1,Embedded Systems Engineer
"JavaScript, REST APIs, Linux, Networking, UI/UX, Spark, Azure","Azure Portal, PyCharm, Docker",Design,Postgraduate,7,UI/UX Designer
"Power BI, React, Data Analysis, Kubernetes, HTML, SQL","Google Cloud, Figma, GitHub",Design,Postgraduate,9,UI/UX Designer
"Tableau, Statistics, JavaScript, Azure, AWS, Cybersecurity, Power BI","Kubernetes, Jupyter",AI/ML,Postgraduate,10,AI Engineer
"Java, Hadoop, Tableau, TensorFlow, JavaScript, Docker, Linux","Postman, Kubernetes, VS Code, Jira",Design,Graduate,0,UI/UX Designer
"NLP, Java, Spark, AWS, Networking, Power BI","PyCharm, Docker, GitLab",IoT,Postgraduate,4,Embedded Systems Engineer
"Embedded Systems, Figma, AWS, Machine Learning, TensorFlow","Postman, VS Code, Kubernetes, Google Cloud",Cybersecurity,Postgraduate,8,Cybersecurity Analyst
"Deep Learning, Data Analysis, Tableau, Figma, Hadoop","Jira, GitLab, PyCharm, Azure Portal",Cloud,Graduate,5,Cloud Engineer
"Git, Linux, Cybersecurity, AWS, REST APIs, JavaScript, UI/UX","AWS EC2, Kubernetes, VS Code",Cybersecurity,Postgraduate,0,Cybersecurity Analyst
"PyTorch, Data Analysis, C++, NLP, Spark, Kubernetes","VS Code, Jira",Cloud,Postgraduate,8,DevOps Engineer
"Deep Learning, HTML, Git, Java","GitLab, AWS EC2, Google Cloud",AI/ML,Undergraduate,0,AI Engineer
"Deep Learning, Kubernetes, HTML, C++","VS Code, Figma, Azure Portal",Cloud,Undergraduate,6,Cloud Engineer
"React, Java, Docker, Embedded Systems, SQL, Tableau, PyTorch","AWS EC2, PyCharm, GitLab, GitHub",Cloud,Graduate,2,DevOps Engineer
"PyTorch, JavaScript, UI/UX, Python, Deep Learning, Kubernetes, Docker","Google Cloud, Jira, AWS EC2, GitHub",Cloud,Graduate,2,DevOps Engineer
"Statistics, Tableau, NLP, HTML, REST APIs","VS Code, Postman, GitLab, Kubernetes",Data Science,Graduate,6,Data Analyst
"Tableau, JavaScript, NLP, C++, SQL, Power BI, PyTorch","Figma, Google Cloud",Web Development,Undergraduate,7,Backend Developer
"Statistics, Linux, UI/UX, Azure","GitHub, Postman, Figma, Kubernetes",Cloud,Graduate,1,Cloud Engineer
"AWS, Linux, PyTorch, REST APIs, Power BI","VS Code, Figma, GitLab, GitHub",Web Development,Undergraduate,9,Backend Developer
"Node.js, Machine Learning, Hadoop, PyTorch, Spark","Jira, PyCharm, Kubernetes, AWS EC2",IoT,Graduate,8,Embedded Systems Engineer
"Power BI, Statistics, React, Cybersecurity","AWS EC2, Kubernetes",IoT,Postgraduate,8,Embedded Systems Engineer
"PyTorch, Tableau, HTML, Python, Docker, Embedded Systems","Jupyter, GitLab, PyCharm",IoT,Undergraduate,9,Embedded Systems Engineer
"CSS, Data Analysis, Linux, Docker, Java","Postman, VS Code, GitLab, AWS EC2",Data Science,Postgraduate,7,Data Scientist
"Power BI, Cybersecurity, Tableau, Data Analysis, Machine Learning","Docker, Jupyter, Jira",Data Science,Undergraduate,0,Data Scientist
"Figma, UI/UX, Python, Tableau, Cybersecurity, JavaScript, Hadoop","Jira, Azure Portal",IoT,Undergraduate,4,Embedded Systems Engineer
"TensorFlow, Node.js, NLP, REST APIs, PyTorch, Deep Learning, Java","Jira, Postman, Kubernetes, Docker",AI/ML,Postgraduate,10,AI Engineer
"Python, Power BI, Embedded Systems, CSS, Cybersecurity, Node.js, Data Analysis","AWS EC2, Jupyter",Design,Graduate,4,UI/UX Designer
"Hadoop, Deep Learning, C++, Statistics, HTML, Python, SQL","GitLab, Azure Portal",Web Development,Postgraduate,9,Frontend Developer
"Spark, Deep Learning, Java, PyTorch","GitLab, GitHub, Figma",Data Science,Undergraduate,2,Data Scientist
"Git, CSS, Kubernetes, Node.js, Machine Learning","GitHub, Google Cloud, Figma, AWS EC2",Cybersecurity,Graduate,0,Cybersecurity Analyst
"Git, Networking, Hadoop, Statistics, UI/UX","Azure Portal, Docker, Kubernetes",Data Science,Undergraduate,5,Data Analyst
"React, JavaScript, Data Analysis, Machine Learning","GitLab, Postman, GitHub",Web Development,Undergraduate,7,Frontend Developer
"Hadoop, JavaScript, AWS, Node.js, PyTorch, Machine Learning, SQL","GitLab, GitHub, Docker",Design,Graduate,0,UI/UX Designer
"Spark, Deep Learning, React, Data Analysis, Node.js","Docker, Postman",Data Science,Postgraduate,9,Data Analyst
"Deep Learning, Git, CSS, Spark, JavaScript, Linux, Machine Learning","GitLab, Kubernetes, VS Code",Cybersecurity,Postgraduate,6,Security Engineer
"Azure, React, C++, Statistics","Jupyter, Postman, VS Code",Cybersecurity,Postgraduate,10,Cybersecurity Analyst
"Embedded Systems, JavaScript, Hadoop, Java, Deep Learning","AWS EC2, Google Cloud",Design,Undergraduate,5,UI/UX Designer
"Azure, Data Analysis, React, Power BI, Hadoop","Figma, Azure Portal, Docker, VS Code",Design,Undergraduate,0,UI/UX Designer
"Deep Learning, Java, SQL, Kubernetes, C++, Tableau, Spark","GitLab, Azure Portal, Google Cloud",AI/ML,Postgraduate,2,Machine Learning Engineer
"Machine Learning, Git, Java, Figma","Figma, GitHub, VS Code, Jupyter",AI/ML,Undergraduate,6,Machine Learning Engineer
"REST APIs, Networking, UI/UX, Figma, Docker, Python","Jupyter, Azure Portal, Jira",AI/ML,Postgraduate,2,Machine Learning Engineer
"Networking, HTML, Git, Spark, Kubernetes","VS Code, GitHub, Jira, Docker",Design,Undergraduate,4,UI/UX Designer
"Power BI, CSS, Embedded Systems, UI/UX","AWS EC2, VS Code",IoT,Graduate,10,Embedded Systems Engineer
"C++, Linux, NLP, Statistics","Google Cloud, Kubernetes, Postman, GitLab",AI/ML,Postgraduate,9,AI Engineer
"TensorFlow, JavaScript, NLP, Statistics","GitLab, GitHub, Jupyter",Design,Undergraduate,3,UI/UX Designer
"Python, Node.js, React, HTML, Hadoop","Figma, Azure Portal",Web Development,Graduate,1,Backend Developer
"Docker, REST APIs, Python, Linux, PyTorch, Figma","GitHub, AWS EC2, VS Code, Docker",AI/ML,Undergraduate,7,AI Engineer
"Data Analysis, Power BI, Statistics, Tableau, Node.js, React","Docker, Azure Portal, PyCharm",IoT,Postgraduate,6,Embedded Systems Engineer
"Docker, NLP, CSS, Embedded Systems, Tableau, Java","Postman, Jupyter",AI/ML,Postgraduate,2,Machine Learning Engineer
"NLP, Hadoop, React, Figma, Kubernetes, Statistics","Jira, GitLab",Data Science,Undergraduate,4,Data Scientist
"Git, Power BI, Machine Learning, UI/UX, Statistics","GitLab, Jupyter",AI/ML,Postgraduate,5,Machine Learning Engineer
"Deep Learning, REST APIs, Statistics, Node.js, HTML, React, Linux","Docker, Jupyter, VS Code, Kubernetes",Web Development,Undergraduate,8,Backend Developer
"Kubernetes, Networking, NLP, Docker, Figma","VS Code, Jira, PyCharm",Cybersecurity,Postgraduate,10,Security Engineer
"NLP, Kubernetes, Azure, REST APIs, React","Docker, VS Code, Postman, Kubernetes",Design,Postgraduate,7,UI/UX Designer
"Embedded Systems, React, Azure, Docker, CSS, Figma, Networking","GitLab, Azure Portal, AWS EC2",Design,Postgraduate,7,UI/UX Designer
"NLP, Power BI, Hadoop, C++","VS Code, Google Cloud",Cybersecurity,Postgraduate,0,Cybersecurity Analyst
"Machine Learning, React, JavaScript, C++, Kubernetes, Embedded Systems, Python","Figma, VS Code, Jupyter, GitLab",Cloud,Undergraduate,7,DevOps Engineer
"AWS, Kubernetes, Docker, Azure, TensorFlow, PyTorch, CSS","Google Cloud, Jupyter",IoT,Undergraduate,8,Embedded Systems Engineer
"HTML, Statistics, C++, Deep Learning, Node.js","Jira, VS Code, AWS EC2, PyCharm",IoT,Postgraduate,10,Embedded Systems Engineer
"AWS, Kubernetes, PyTorch, Python, Hadoop, Linux, SQL","Figma, Docker",Design,Graduate,7,UI/UX Designer
"UI/UX, NLP, Machine Learning, Kubernetes, JavaScript, Git","VS Code, Figma, Docker, Postman",Cybersecurity,Graduate,8,Cybersecurity Analyst
"Java, Node.js, Deep Learning, Cybersecurity, C++, Statistics","Postman, AWS EC2, Jira",Cybersecurity,Postgraduate,8,Cybersecurity Analyst
"Python, JavaScript, Hadoop, Networking","Kubernetes, GitHub, Jupyter",Design,Graduate,0,UI/UX Designer
"PyTorch, Machine Learning, Deep Learning, Embedded Systems, Statistics, TensorFlow, Spark","Kubernetes, Azure Portal",IoT,Graduate,9,Embedded Systems Engineer
"PyTorch, SQL, React, TensorFlow","GitLab, Postman",Web Development,Graduate,7,Backend Developer
"SQL, Statistics, HTML, Deep Learning","Jupyter, Jira",AI/ML,Undergraduate,2,Machine Learning Engineer
