,Skills,Tools,Interests,Education,Recommended Career,Recommended_Career
638,"spark, rest apis, git, nlp, aws","kubernetes, aws ec2, figma, gitlab",data science,postgraduate,Data Analyst,data analyst
639,"ui/ux, machine learning, cybersecurity, c++, data analysis, rest apis, docker","figma, kubernetes",ai/ml,postgraduate,AI Engineer,ai engineer
640,"data analysis, networking, css, hadoop, azure, cybersecurity, c++","jira, aws ec2, vs code",data science,graduate,Data Scientist,data scientist
641,"rest apis, figma, html, node.js, pytorch, javascript","vs code, figma, github, gitlab",web development,graduate,Backend Developer,backend developer
642,"tensorflow, javascript, networking, ui/ux, html","figma, azure portal, google cloud",web development,graduate,Frontend Developer,frontend developer
643,"hadoop, javascript, spark, linux","kubernetes, github, google cloud",data science,undergraduate,Data Scientist,data scientist
644,"css, docker, spark, node.js, java","docker, pycharm, kubernetes",cybersecurity,postgraduate,Security Engineer,security engineer
645,"tableau, ui/ux, azure, linux, node.js, networking, machine learning","vs code, github, figma",web development,graduate,Frontend Developer,frontend developer
646,"python, docker, deep learning, react","kubernetes, jupyter, azure portal, gitlab",ai/ml,graduate,Machine Learning Engineer,machine learning engineer
647,"data analysis, linux, nlp, html","docker, pycharm, vs code, google cloud",ai/ml,undergraduate,AI Engineer,ai engineer
648,"machine learning, python, docker, pytorch, javascript","docker, aws ec2, figma",web development,undergraduate,Backend Developer,backend developer
649,"embedded systems, java, spark, tensorflow, html","gitlab, aws ec2, pycharm, figma",web development,graduate,Frontend Developer,frontend developer
650,"aws, data analysis, docker, machine learning, nlp, sql","vs code, figma",cybersecurity,graduate,Cybersecurity Analyst,cybersecurity analyst
651,"ui/ux, machine learning, deep learning, linux","figma, jupyter",iot,undergraduate,Embedded Systems Engineer,embedded systems engineer
652,"statistics, python, figma, networking, cybersecurity","azure portal, jira",ai/ml,undergraduate,Machine Learning Engineer,machine learning engineer
653,"tableau, rest apis, pytorch, git, docker, networking, machine learning","vs code, azure portal, aws ec2",cloud,graduate,Cloud Engineer,cloud engineer
654,"javascript, machine learning, statistics, pytorch, java","pycharm, google cloud, postman, kubernetes",web development,undergraduate,Backend Developer,backend developer
655,"git, rest apis, figma, react, machine learning","vs code, jupyter, azure portal, gitlab",design,undergraduate,UI/UX Designer,ui/ux designer
656,"hadoop, sql, power bi, aws, python, nlp, linux","azure portal, postman",design,postgraduate,UI/UX Designer,ui/ux designer
657,"linux, nlp, statistics, cybersecurity","kubernetes, figma, vs code",ai/ml,graduate,AI Engineer,ai engineer
658,"javascript, azure, figma, power bi, pytorch, embedded systems, sql","jira, google cloud, azure portal",design,postgraduate,UI/UX Designer,ui/ux designer
659,"statistics, aws, nlp, power bi","github, kubernetes, pycharm",ai/ml,postgraduate,AI Engineer,ai engineer
660,"cybersecurity, deep learning, pytorch, networking","azure portal, docker, google cloud",design,undergraduate,UI/UX Designer,ui/ux designer
661,"c++, statistics, java, kubernetes","google cloud, pycharm, aws ec2, postman",cybersecurity,graduate,Security Engineer,security engineer
662,"java, kubernetes, docker, machine learning","jira, kubernetes",cybersecurity,undergraduate,Cybersecurity Analyst,cybersecurity analyst
663,"react, tensorflow, spark, ui/ux, aws, networking","pycharm, github",web development,undergraduate,Backend Developer,backend developer
664,"tableau, sql, nlp, git, html","github, vs code, figma, google cloud",ai/ml,undergraduate,Machine Learning Engineer,machine learning engineer
665,"statistics, linux, react, pytorch, rest apis","google cloud, vs code, jira",cloud,graduate,DevOps Engineer,devops engineer
666,"tableau, ui/ux, statistics, docker","kubernetes, pycharm",ai/ml,graduate,Machine Learning Engineer,machine learning engineer
667,"cybersecurity, python, deep learning, networking, tensorflow, node.js","aws ec2, gitlab, figma",ai/ml,postgraduate,AI Engineer,ai engineer
668,"react, cybersecurity, node.js, rest apis, power bi","jira, docker",cloud,undergraduate,DevOps Engineer,devops engineer
669,"cybersecurity, azure, spark, javascript","jira, gitlab, google cloud",cloud,postgraduate,DevOps Engineer,devops engineer
670,"python, figma, c++, azure, hadoop","vs code, github, aws ec2, postman",cloud,postgraduate,DevOps Engineer,devops engineer
671,"javascript, html, tableau, react, sql","vs code, azure portal, docker",iot,undergraduate,Embedded Systems Engineer,embedded systems engineer
672,"ui/ux, azure, tensorflow, rest apis, java, embedded systems, sql","azure portal, gitlab",cybersecurity,graduate,Security Engineer,security engineer
673,"html, git, azure, tensorflow","docker, pycharm, jupyter",design,postgraduate,UI/UX Designer,ui/ux designer
674,"nlp, machine learning, embedded systems, data analysis","docker, figma, jira, postman",cybersecurity,undergraduate,Cybersecurity Analyst,cybersecurity analyst
675,"linux, javascript, nlp, kubernetes","jira, figma",iot,graduate,Embedded Systems Engineer,embedded systems engineer
676,"power bi, rest apis, nlp, python, react","google cloud, jira, jupyter",web development,graduate,Backend Developer,backend developer
677,"embedded systems, javascript, aws, rest apis, sql","figma, vs code, jira, jupyter",web development,undergraduate,Frontend Developer,frontend developer
678,"embedded systems, nlp, machine learning, pytorch, data analysis, git, node.js","vs code, github, pycharm, azure portal",ai/ml,graduate,Machine Learning Engineer,machine learning engineer
679,"machine learning, kubernetes, data analysis, statistics, deep learning, react, docker","kubernetes, gitlab",web development,graduate,Frontend Developer,frontend developer
680,"tableau, spark, figma, pytorch, cybersecurity","postman, jira, gitlab, docker",design,graduate,UI/UX Designer,ui/ux designer
681,"hadoop, c++, figma, statistics","google cloud, postman, jira",cloud,undergraduate,DevOps Engineer,devops engineer
682,"deep learning, kubernetes, statistics, ui/ux, rest apis, machine learning, c++","vs code, google cloud, aws ec2, kubernetes",ai/ml,postgraduate,AI Engineer,ai engineer
683,"hadoop, spark, figma, tableau, kubernetes","github, azure portal",cloud,graduate,Cloud Engineer,cloud engineer
684,"tensorflow, machine learning, spark, python, docker, sql, react","pycharm, postman, kubernetes",cybersecurity,undergraduate,Security Engineer,security engineer
685,"javascript, statistics, java, networking, deep learning","docker, jira, azure portal",iot,postgraduate,Embedded Systems Engineer,embedded systems engineer
686,"react, pytorch, docker, hadoop, sql, css, nlp","azure portal, figma",data science,undergraduate,Data Analyst,data analyst
687,"tableau, aws, statistics, figma, nlp, spark","figma, aws ec2",web development,undergraduate,Backend Developer,backend developer
688,"ui/ux, statistics, tableau, docker, nlp, sql","vs code, google cloud",cybersecurity,undergraduate,Cybersecurity Analyst,cybersecurity analyst
689,"html, cybersecurity, power bi, spark","jira, jupyter",iot,postgraduate,Embedded Systems Engineer,embedded systems engineer
690,"aws, azure, embedded systems, kubernetes, figma, pytorch","docker, figma",cybersecurity,graduate,Security Engineer,security engineer
691,"tableau, javascript, nlp, python, docker, spark, java","kubernetes, jira, github, vs code",web development,undergraduate,Frontend Developer,frontend developer
692,"power bi, docker, linux, git, pytorch, deep learning, statistics","pycharm, jira, jupyter, docker",ai/ml,undergraduate,AI Engineer,ai engineer
693,"networking, aws, git, statistics, nlp, rest apis, deep learning","aws ec2, gitlab",cloud,undergraduate,Cloud Engineer,cloud engineer
694,"sql, ui/ux, pytorch, python, cybersecurity, html","google cloud, jupyter, aws ec2",design,postgraduate,UI/UX Designer,ui/ux designer
695,"embedded systems, figma, tensorflow, hadoop, deep learning, linux","jupyter, azure portal, pycharm, gitlab",iot,undergraduate,Embedded Systems Engineer,embedded systems engineer
696,"aws, java, spark, data analysis, sql, react","kubernetes, github",design,postgraduate,UI/UX Designer,ui/ux designer
697,"cybersecurity, linux, spark, tableau, aws, nlp, git","docker, azure portal, google cloud, jira",ai/ml,postgraduate,AI Engineer,ai engineer
698,"c++, aws, statistics, java","google cloud, gitlab, figma, pycharm",ai/ml,undergraduate,AI Engineer,ai engineer
699,"data analysis, java, sql, deep learning, react, c++","azure portal, figma",iot,undergraduate,Embedded Systems Engineer,embedded systems engineer
700,"c++, html, css, kubernetes","pycharm, docker, aws ec2, jupyter",web development,graduate,Backend Developer,backend developer
701,"power bi, python, embedded systems, javascript, java, c++, figma","gitlab, jupyter, jira, google cloud",cloud,graduate,DevOps Engineer,devops engineer
702,"networking, statistics, node.js, html, java, javascript, kubernetes","figma, azure portal",web development,undergraduate,Frontend Developer,frontend developer
703,"sql, rest apis, machine learning, css, pytorch, deep learning","jira, vs code",cybersecurity,postgraduate,Cybersecurity Analyst,cybersecurity analyst
704,"javascript, java, rest apis, data analysis, azure","postman, gitlab, docker, google cloud",ai/ml,graduate,AI Engineer,ai engineer
705,"rest apis, node.js, javascript, html, deep learning","docker, azure portal, postman, kubernetes",cloud,undergraduate,DevOps Engineer,devops engineer
706,"tensorflow, c++, deep learning, java, networking, data analysis","postman, azure portal, jira, pycharm",iot,postgraduate,Embedded Systems Engineer,embedded systems engineer
707,"react, machine learning, sql, c++, figma, kubernetes","figma, vs code, gitlab",web development,undergraduate,Frontend Developer,frontend developer
708,"html, react, javascript, nlp","kubernetes, azure portal, jira, jupyter",design,graduate,UI/UX Designer,ui/ux designer
709,"docker, rest apis, kubernetes, java","figma, postman, azure portal",iot,graduate,Embedded Systems Engineer,embedded systems engineer
710,"sql, nlp, html, python, cybersecurity, tableau, azure","docker, gitlab, figma",web development,undergraduate,Frontend Developer,frontend developer
711,"nlp, cybersecurity, kubernetes, spark","pycharm, vs code",web development,undergraduate,Backend Developer,backend developer
712,"ui/ux, python, java, networking, azure, sql","postman, vs code",design,undergraduate,UI/UX Designer,ui/ux designer
713,"css, linux, hadoop, azure, java","figma, google cloud, github",cloud,postgraduate,Cloud Engineer,cloud engineer
714,"hadoop, c++, html, aws","aws ec2, figma",iot,graduate,Embedded Systems Engineer,embedded systems engineer
715,"ui/ux, networking, sql, power bi, deep learning, machine learning, docker","vs code, postman, pycharm",ai/ml,graduate,Machine Learning Engineer,machine learning engineer
716,"c++, linux, sql, statistics","jira, docker, kubernetes",iot,postgraduate,Embedded Systems Engineer,embedded systems engineer
717,"python, figma, deep learning, aws, azure","aws ec2, docker, google cloud, figma",iot,postgraduate,Embedded Systems Engineer,embedded systems engineer
718,"react, node.js, spark, embedded systems, css, networking, statistics","azure portal, kubernetes, google cloud, pycharm",ai/ml,postgraduate,AI Engineer,ai engineer
719,"node.js, css, c++, sql, git, azure","postman, github, jupyter",data science,undergraduate,Data Scientist,data scientist
720,"react, python, cybersecurity, embedded systems, html, java","pycharm, jira, vs code, github",ai/ml,postgraduate,Machine Learning Engineer,machine learning engineer
721,"ui/ux, nlp, aws, networking, html","vs code, kubernetes",web development,postgraduate,Backend Developer,backend developer
722,"machine learning, statistics, data analysis, deep learning, power bi, pytorch, react","aws ec2, figma",web development,graduate,Backend Developer,backend developer
723,"kubernetes, tensorflow, python, javascript, c++, deep learning, networking","aws ec2, github",iot,graduate,Embedded Systems Engineer,embedded systems engineer
724,"javascript, statistics, cybersecurity, pytorch, react, ui/ux, rest apis","figma, github",design,undergraduate,UI/UX Designer,ui/ux designer
725,"c++, node.js, sql, tableau, ui/ux, embedded systems","vs code, github",cloud,undergraduate,Cloud Engineer,cloud engineer
726,"react, java, figma, azure, sql","gitlab, github",iot,graduate,Embedded Systems Engineer,embedded systems engineer
727,"git, deep learning, azure, machine learning, spark, embedded systems, python","postman, docker",ai/ml,postgraduate,Machine Learning Engineer,machine learning engineer
728,"kubernetes, tensorflow, html, pytorch, azure, aws","aws ec2, postman",web development,undergraduate,Frontend Developer,frontend developer
729,"sql, c++, react, azure, pytorch","jupyter, jira, azure portal, vs code",cloud,graduate,DevOps Engineer,devops engineer
730,"networking, python, tableau, nlp","kubernetes, jira, jupyter, postman",ai/ml,graduate,AI Engineer,ai engineer
731,"power bi, spark, nlp, networking","jupyter, kubernetes, docker",ai/ml,graduate,AI Engineer,ai engineer
732,"rest apis, java, hadoop, python, nlp, docker","aws ec2, jupyter",web development,graduate,Frontend Developer,frontend developer
733,"sql, statistics, spark, hadoop, ui/ux, tableau","docker, figma",iot,undergraduate,Embedded Systems Engineer,embedded systems engineer
734,"cybersecurity, spark, node.js, c++, statistics, networking","google cloud, jira, postman",web development,undergraduate,Backend Developer,backend developer
735,"tensorflow, kubernetes, tableau, java, networking","pycharm, figma",iot,undergraduate,Embedded Systems Engineer,embedded systems engineer
736,"css, networking, rest apis, sql","azure portal, gitlab, vs code, kubernetes",data science,graduate,Data Scientist,data scientist
737,"pytorch, linux, html, statistics, hadoop","vs code, pycharm, google cloud, aws ec2",cloud,postgraduate,Cloud Engineer,cloud engineer
738,"pytorch, sql, tableau, git, c++, spark, power bi","jira, azure portal, figma, google cloud",cybersecurity,graduate,Security Engineer,security engineer
739,"node.js, tensorflow, hadoop, python, rest apis, spark","kubernetes, figma, github, azure portal",web development,graduate,Backend Developer,backend developer
740,"figma, machine learning, css, pytorch, azure","postman, kubernetes, figma",iot,undergraduate,Embedded Systems Engineer,embedded systems engineer
741,"javascript, cybersecurity, sql, data analysis, css","postman, jupyter",web development,graduate,Backend Developer,backend developer
742,"networking, nlp, ui/ux, deep learning","docker, postman, gitlab, kubernetes",ai/ml,graduate,Machine Learning Engineer,machine learning engineer
743,"figma, spark, javascript, ui/ux, html","postman, google cloud, azure portal",ai/ml,graduate,AI Engineer,ai engineer
744,"rest apis, embedded systems, hadoop, python, tensorflow, git","kubernetes, figma, aws ec2, gitlab",web development,postgraduate,Frontend Developer,frontend developer
745,"node.js, c++, data analysis, html","gitlab, google cloud",data science,postgraduate,Data Analyst,data analyst
746,"python, machine learning, aws, data analysis","vs code, aws ec2, postman, kubernetes",iot,undergraduate,Embedded Systems Engineer,embedded systems engineer
747,"pytorch, javascript, cybersecurity, c++, deep learning, machine learning, statistics","figma, postman, github",web development,graduate,Frontend Developer,frontend developer
748,"sql, data analysis, aws, kubernetes, java","github, gitlab, kubernetes",ai/ml,postgraduate,AI Engineer,ai engineer
749,"azure, networking, kubernetes, aws, hadoop, cybersecurity","pycharm, github, azure portal, jupyter",cloud,postgraduate,DevOps Engineer,devops engineer
750,"ui/ux, figma, git, node.js, css","docker, jupyter, gitlab",data science,undergraduate,Data Scientist,data scientist
751,"sql, css, statistics, figma","azure portal, figma, jira",cloud,undergraduate,DevOps Engineer,devops engineer
752,"nlp, hadoop, machine learning, figma","figma, jupyter, postman",iot,postgraduate,Embedded Systems Engineer,embedded systems engineer
753,"statistics, machine learning, c++, css, cybersecurity","postman, pycharm, google cloud",cybersecurity,undergraduate,Cybersecurity Analyst,cybersecurity analyst
754,"sql, aws, css, machine learning, javascript, linux, cybersecurity","jupyter, google cloud, jira, vs code",ai/ml,graduate,Machine Learning Engineer,machine learning engineer
755,"deep learning, cybersecurity, figma, ui/ux, html, c++, networking","aws ec2, docker, gitlab, jupyter",cybersecurity,undergraduate,Security Engineer,security engineer
756,"azure, statistics, javascript, hadoop","pycharm, google cloud, gitlab",cloud,postgraduate,DevOps Engineer,devops engineer
757,"statistics, spark, aws, data analysis, sql, docker","aws ec2, kubernetes",data science,graduate,Data Analyst,data analyst
758,"tableau, networking, pytorch, html, java, statistics","docker, figma, vs code, postman",cloud,graduate,Cloud Engineer,cloud engineer
759,"spark, css, power bi, tableau","vs code, pycharm",cybersecurity,postgraduate,Cybersecurity Analyst,cybersecurity analyst
760,"embedded systems, hadoop, spark, aws, pytorch, power bi, nlp","aws ec2, vs code",ai/ml,graduate,Machine Learning Engineer,machine learning engineer
761,"data analysis, deep learning, java, html, aws, statistics, networking","figma, kubernetes",web development,postgraduate,Frontend Developer,frontend developer
762,"git, power bi, linux, embedded systems, machine learning, ui/ux, node.js","jupyter, github, aws ec2",data science,postgraduate,Data Scientist,data scientist
763,"hadoop, python, networking, c++, figma, pytorch","kubernetes, postman",iot,graduate,Embedded Systems Engineer,embedded systems engineer
764,"linux, tensorflow, javascript, java, sql, react","kubernetes, azure portal, figma",cloud,graduate,DevOps Engineer,devops engineer
765,"react, networking, spark, statistics, java","vs code, docker, aws ec2",design,graduate,UI/UX Designer,ui/ux designer
766,"rest apis, networking, git, javascript, java, power bi, machine learning","vs code, azure portal",design,graduate,UI/UX Designer,ui/ux designer
767,"networking, pytorch, hadoop, python","figma, aws ec2, kubernetes, jira",iot,undergraduate,Embedded Systems Engineer,embedded systems engineer
768,"aws, tableau, machine learning, c++","docker, vs code, kubernetes",web development,undergraduate,Backend Developer,backend developer
769,"machine learning, aws, power bi, figma, sql","figma, vs code",cloud,undergraduate,DevOps Engineer,devops engineer
770,"embedded systems, javascript, data analysis, c++","postman, aws ec2",cybersecurity,postgraduate,Cybersecurity Analyst,cybersecurity analyst
771,"statistics, tableau, docker, pytorch, machine learning, spark, css","jupyter, azure portal, gitlab, github",cybersecurity,postgraduate,Cybersecurity Analyst,cybersecurity analyst
772,"hadoop, java, linux, python, c++","jupyter, github, azure portal",web development,postgraduate,Backend Developer,backend developer
773,"python, statistics, tensorflow, pytorch","kubernetes, vs code",iot,postgraduate,Embedded Systems Engineer,embedded systems engineer
774,"linux, data analysis, kubernetes, sql, cybersecurity","kubernetes, google cloud, figma, azure portal",cybersecurity,postgraduate,Cybersecurity Analyst,cybersecurity analyst
775,"data analysis, tensorflow, react, kubernetes, deep learning","azure portal, docker, postman",design,postgraduate,UI/UX Designer,ui/ux designer
776,"hadoop, spark, c++, css, python, java, networking","azure portal, jira, pycharm, jupyter",web development,graduate,Backend Developer,backend developer
777,"tensorflow, css, nlp, deep learning, figma, c++","azure portal, gitlab, github",cloud,graduate,DevOps Engineer,devops engineer
778,"c++, machine learning, python, react","google cloud, kubernetes",ai/ml,graduate,Machine Learning Engineer,machine learning engineer
779,"rest apis, embedded systems, figma, tableau, javascript","kubernetes, aws ec2",ai/ml,graduate,Machine Learning Engineer,machine learning engineer
780,"figma, html, react, statistics, networking, hadoop","postman, jupyter",web development,undergraduate,Backend Developer,backend developer
781,"tableau, power bi, react, ui/ux","figma, gitlab, pycharm, github",ai/ml,graduate,Machine Learning Engineer,machine learning engineer
782,"aws, data analysis, c++, react, html, linux, machine learning","github, azure portal, gitlab, pycharm",ai/ml,undergraduate,Machine Learning Engineer,machine learning engineer
783,"sql, statistics, spark, react, figma, css","vs code, docker",ai/ml,undergraduate,Machine Learning Engineer,machine learning engineer
784,"node.js, data analysis, html, figma, power bi, javascript","postman, docker",design,undergraduate,UI/UX Designer,ui/ux designer
785,"nlp, tensorflow, tableau, networking","google cloud, gitlab",cloud,undergraduate,DevOps Engineer,devops engineer
786,"pytorch, react, tableau, linux, javascript, python","azure portal, google cloud, docker",web development,graduate,Backend Developer,backend developer
787,"javascript, figma, statistics, sql, git","google cloud, jupyter, postman",web development,postgraduate,Backend Developer,backend developer
788,"data analysis, node.js, power bi, c++, sql, rest apis","jupyter, figma, postman",web development,undergraduate,Frontend Developer,frontend developer
789,"azure, machine learning, cybersecurity, docker, spark","azure portal, postman, jira",web development,postgraduate,Backend Developer,backend developer
790,"javascript, tensorflow, machine learning, embedded systems, html, sql, css","aws ec2, gitlab, google cloud, vs code",design,postgraduate,UI/UX Designer,ui/ux designer
791,"data analysis, networking, rest apis, embedded systems","github, google cloud",ai/ml,graduate,Machine Learning Engineer,machine learning engineer
792,"ui/ux, nlp, figma, data analysis, c++","figma, kubernetes, jira",cybersecurity,undergraduate,Security Engineer,security engineer
793,"data analysis, deep learning, docker, statistics, ui/ux","docker, kubernetes, github, postman",design,graduate,UI/UX Designer,ui/ux designer
794,"networking, html, azure, sql, cybersecurity, rest apis, tableau","azure portal, google cloud",web development,graduate,Backend Developer,backend developer
795,"pytorch, kubernetes, statistics, sql, aws","pycharm, github, jupyter, jira",cybersecurity,undergraduate,Security Engineer,security engineer
796,"pytorch, nlp, javascript, deep learning","kubernetes, aws ec2, figma, gitlab",iot,postgraduate,Embedded Systems Engineer,embedded systems engineer
797,"data analysis, networking, spark, docker, rest apis","vs code, jupyter, gitlab, docker",data science,postgraduate,Data Scientist,data scientist
798,"power bi, python, tensorflow, sql, java, linux, pytorch","google cloud, docker",data science,undergraduate,Data Analyst,data analyst
799,"c++, azure, cybersecurity, data analysis","aws ec2, jupyter",cloud,postgraduate,DevOps Engineer,devops engineer
800,"tableau, docker, statistics, azure, ui/ux, python, tensorflow","kubernetes, vs code, google cloud",ai/ml,undergraduate,Machine Learning Engineer,machine learning engineer
801,"nlp, tensorflow, cybersecurity, spark, data analysis","gitlab, figma, docker, aws ec2",data science,postgraduate,Data Analyst,data analyst
802,"javascript, data analysis, ui/ux, python","postman, gitlab, kubernetes, docker",design,graduate,UI/UX Designer,ui/ux designer
803,"statistics, tableau, power bi, kubernetes, spark, nlp","vs code, azure portal, figma",data science,graduate,Data Scientist,data scientist
804,"node.js, html, pytorch, machine learning","vs code, docker, github",iot,graduate,Embedded Systems Engineer,embedded systems engineer
805,"javascript, linux, hadoop, docker, react, deep learning, tensorflow","kubernetes, pycharm",cloud,postgraduate,Cloud Engineer,cloud engineer
806,"rest apis, linux, html, git, docker, aws, networking","pycharm, kubernetes",cybersecurity,postgraduate,Cybersecurity Analyst,cybersecurity analyst
807,"html, nlp, docker, embedded systems, cybersecurity, python","jupyter, kubernetes, jira",cloud,undergraduate,DevOps Engineer,devops engineer
808,"statistics, ui/ux, html, node.js, power bi, javascript, css","gitlab, jira, github, pycharm",cloud,undergraduate,DevOps Engineer,devops engineer
809,"node.js, deep learning, pytorch, linux","github, jira",iot,undergraduate,Embedded Systems Engineer,embedded systems engineer
810,"java, data analysis, spark, sql","postman, pycharm, aws ec2",cybersecurity,undergraduate,Cybersecurity Analyst,cybersecurity analyst
811,"tensorflow, statistics, spark, pytorch, ui/ux, python","gitlab, pycharm, jupyter, google cloud",cybersecurity,graduate,Security Engineer,security engineer
812,"figma, react, machine learning, tensorflow, pytorch, html, spark","pycharm, kubernetes, jira, github",cloud,undergraduate,Cloud Engineer,cloud engineer
813,"rest apis, embedded systems, java, linux","pycharm, jupyter, figma",iot,undergraduate,Embedded Systems Engineer,embedded systems engineer
814,"html, python, git, aws, ui/ux","figma, jira, kubernetes",design,graduate,UI/UX Designer,ui/ux designer
815,"javascript, ui/ux, kubernetes, linux, docker, rest apis","jupyter, figma, docker, gitlab",cloud,undergraduate,Cloud Engineer,cloud engineer
816,"azure, spark, ui/ux, rest apis, deep learning, networking","jupyter, gitlab",cloud,graduate,Cloud Engineer,cloud engineer
817,"spark, cybersecurity, javascript, deep learning","pycharm, azure portal, aws ec2",ai/ml,graduate,AI Engineer,ai engineer
818,"pytorch, node.js, kubernetes, git","postman, figma, aws ec2, jupyter",design,graduate,UI/UX Designer,ui/ux designer
819,"nlp, networking, spark, deep learning, statistics, css","google cloud, docker, vs code",design,graduate,UI/UX Designer,ui/ux designer
820,"java, tableau, embedded systems, ui/ux","github, jupyter, pycharm, jira",cybersecurity,undergraduate,Cybersecurity Analyst,cybersecurity analyst
821,"figma, javascript, java, docker, power bi, kubernetes, css","kubernetes, postman",cybersecurity,undergraduate,Cybersecurity Analyst,cybersecurity analyst
822,"pytorch, node.js, git, linux, machine learning","vs code, google cloud, figma",web development,postgraduate,Frontend Developer,frontend developer
823,"pytorch, linux, sql, cybersecurity, hadoop, spark","aws ec2, google cloud, jira, kubernetes",cloud,undergraduate,DevOps Engineer,devops engineer
824,"power bi, hadoop, java, git, pytorch","pycharm, github, aws ec2",ai/ml,graduate,AI Engineer,ai engineer
825,"linux, css, power bi, docker","postman, kubernetes",ai/ml,postgraduate,AI Engineer,ai engineer
826,"java, react, kubernetes, aws, docker, tensorflow, azure","google cloud, jira, github",data science,graduate,Data Scientist,data scientist
827,"docker, kubernetes, power bi, sql","kubernetes, azure portal, gitlab, postman",iot,postgraduate,Embedded Systems Engineer,embedded systems engineer
828,"python, sql, tensorflow, react, node.js, cybersecurity, c++","pycharm, figma",ai/ml,undergraduate,AI Engineer,ai engineer
829,"machine learning, rest apis, azure, tableau, sql, deep learning","google cloud, gitlab",data science,postgraduate,Data Scientist,data scientist
830,"hadoop, java, ui/ux, data analysis, machine learning","azure portal, docker",cybersecurity,undergraduate,Cybersecurity Analyst,cybersecurity analyst
831,"docker, machine learning, deep learning, kubernetes, pytorch, java","vs code, figma, pycharm",ai/ml,postgraduate,Machine Learning Engineer,machine learning engineer
832,"networking, embedded systems, docker, cybersecurity, git, rest apis, nlp","jupyter, vs code, pycharm, azure portal",cloud,undergraduate,Cloud Engineer,cloud engineer
833,"azure, embedded systems, node.js, machine learning","jupyter, azure portal, postman, pycharm",design,graduate,UI/UX Designer,ui/ux designer
834,"java, kubernetes, embedded systems, cybersecurity","docker, vs code",iot,undergraduate,Embedded Systems Engineer,embedded systems engineer
835,"cybersecurity, spark, python, statistics, kubernetes, data analysis, pytorch","vs code, figma",cybersecurity,graduate,Cybersecurity Analyst,cybersecurity analyst
836,"networking, rest apis, statistics, kubernetes, data analysis","kubernetes, azure portal, figma, vs code",design,graduate,UI/UX Designer,ui/ux designer
837,"sql, kubernetes, power bi, rest apis, embedded systems, statistics, java","jupyter, vs code",web development,undergraduate,Frontend Developer,frontend developer
838,"react, javascript, hadoop, docker, html, aws, power bi","gitlab, jupyter",data science,postgraduate,Data Analyst,data analyst
839,"deep learning, data analysis, embedded systems, tableau, git","figma, gitlab, aws ec2",data science,postgraduate,Data Scientist,data scientist
840,"git, ui/ux, python, docker, hadoop","azure portal, docker, kubernetes, github",cybersecurity,postgraduate,Cybersecurity Analyst,cybersecurity analyst
841,"css, docker, cybersecurity, spark, embedded systems, tableau","pycharm, aws ec2, gitlab, figma",web development,undergraduate,Frontend Developer,frontend developer
842,"css, deep learning, tensorflow, kubernetes","docker, postman, pycharm, gitlab",iot,postgraduate,Embedded Systems Engineer,embedded systems engineer
843,"sql, azure, python, node.js, java, c++, cybersecurity","github, jira, kubernetes, docker",cloud,postgraduate,Cloud Engineer,cloud engineer
844,"aws, machine learning, embedded systems, tableau, rest apis, pytorch","gitlab, figma, jira, vs code",web development,graduate,Frontend Developer,frontend developer
845,"rest apis, pytorch, deep learning, networking, spark, tableau","jira, vs code, github, azure portal",cloud,undergraduate,DevOps Engineer,devops engineer
846,"linux, java, aws, node.js, spark","vs code, postman",data science,postgraduate,Data Analyst,data analyst
847,"embedded systems, cybersecurity, networking, azure, pytorch","jupyter, google cloud",cybersecurity,graduate,Cybersecurity Analyst,cybersecurity analyst
848,"python, figma, java, tensorflow","aws ec2, google cloud",design,graduate,UI/UX Designer,ui/ux designer
849,"java, ui/ux, statistics, networking, python, figma","postman, gitlab",iot,undergraduate,Embedded Systems Engineer,embedded systems engineer
850,"spark, react, git, statistics, kubernetes, docker","azure portal, google cloud",ai/ml,undergraduate,AI Engineer,ai engineer
851,"figma, react, nlp, spark, git","pycharm, kubernetes",cybersecurity,graduate,Cybersecurity Analyst,cybersecurity analyst
852,"aws, rest apis, embedded systems, c++","figma, jupyter",cloud,graduate,DevOps Engineer,devops engineer
853,"embedded systems, figma, python, spark, tensorflow","google cloud, aws ec2",cybersecurity,undergraduate,Cybersecurity Analyst,cybersecurity analyst
854,"css, machine learning, aws, python, react, java","google cloud, figma, gitlab",data science,graduate,Data Scientist,data scientist
855,"spark, ui/ux, git, machine learning, embedded systems","azure portal, jira, jupyter",ai/ml,postgraduate,AI Engineer,ai engineer
856,"tableau, javascript, aws, power bi, networking, java","kubernetes, postman",cybersecurity,graduate,Cybersecurity Analyst,cybersecurity analyst
857,"statistics, embedded systems, data analysis, c++, html","kubernetes, figma, vs code",design,undergraduate,UI/UX Designer,ui/ux designer
858,"statistics, javascript, power bi, docker","docker, pycharm",web development,graduate,Frontend Developer,frontend developer
859,"sql, machine learning, kubernetes, linux, hadoop, nlp, docker","jira, docker, vs code, aws ec2",cloud,postgraduate,Cloud Engineer,cloud engineer
860,"azure, pytorch, javascript, react, embedded systems, css, machine learning","docker, aws ec2",iot,graduate,Embedded Systems Engineer,embedded systems engineer
861,"networking, azure, ui/ux, machine learning","figma, jupyter, google cloud",iot,graduate,Embedded Systems Engineer,embedded systems engineer
